code	english_name	vietnamese_name
D385	Neoplasm of uncertain behavior of other respiratory organs	U tân sinh chưa rõ tính chất của cơ quan hô hấp khác
D386	Neoplasm of uncertain behavior of respiratory organ, unspecified	U tân sinh chưa rõ tính chất của cơ quan hô hấp không đặc hiệu
D390	Neoplasm of uncertain behavior of uterus	U tân sinh không chắc chắn hoặc không biết tính chất của tử cung
D392	Neoplasm of uncertain behavior of placenta	U tân sinh không chắc chắn hoặc không biết tính chất của nhau (rau) thai
D398	Neoplasm of uncertain behavior of other specified female genital organs	Khối u có hành vi không rõ ràng ở các cơ quan sinh dục nữ khác được chỉ định
D399	Neoplasm of uncertain behavior of female genital organ, unspecified	Khối u có hành vi không rõ ràng ở cơ quan sinh dục nữ, không xác định
D3A8	Other benign neuroendocrine tumors	Các khối u thần kinh nội tiết lành tính khác
D400	Neoplasm of uncertain behavior of prostate	Khối u có hành vi không rõ ràng ở tuyến tiền liệt
D408	Neoplasm of uncertain behavior of other specified male genital organs	Khối u có hành vi không rõ ràng ở các cơ quan sinh dục nam khác được chỉ định
D409	Neoplasm of uncertain behavior of male genital organ, unspecified	U tân sinh không chắc chắn hoặc không biết tính chất của Cơ quan sinh dục nam không đặc hiệu
D413	Neoplasm of uncertain behavior of urethra	U tân sinh không chắc chắn hoặc không biết tính chất của Niệu đạo
D414	Neoplasm of uncertain behavior of bladder	U tân sinh không chắc chắn hoặc không biết tính chất của Bàng quang
D418	Neoplasm of uncertain behavior of other specified urinary organs	Khối u có hành vi không rõ ràng của các cơ quan tiết niệu khác được chỉ định
D419	Neoplasm of uncertain behavior of unspecified urinary organ	U tân sinh không chắc chắn hoặc không biết tính chất của Cơ quan tiết niệu không đặc hiệu
D420	Neoplasm of uncertain behavior of cerebral meninges	U tân sinh không chắc chắn hoặc không biết tính chất của màng não thuộc não
D421	Neoplasm of uncertain behavior of spinal meninges	U tân sinh không chắc chắn hoặc không biết tính chất của màng não thuộc tuỷ sống
D429	Neoplasm of uncertain behavior of meninges, unspecified	U tân sinh không chắc chắn hoặc không biết tính chất của màng não, không đặc hiệu
D430	Neoplasm of uncertain behavior of brain, supratentorial	U tân sinh không chắc chắn hoặc không biết tính chất của Não, trên lều não
D431	Neoplasm of uncertain behavior of brain, infratentorial	U tân sinh không chắc chắn hoặc không biết tính chất của Não, dưới lều não
D432	Neoplasm of uncertain behavior of brain, unspecified	U tân sinh không chắc chắn hoặc không biết tính chất của Não, không đặc hiệu
D433	Neoplasm of uncertain behavior of cranial nerves	U tân sinh không chắc chắn hoặc không biết tính chất của Thần kinh sọ
D434	Neoplasm of uncertain behavior of spinal cord	U tân sinh không chắc chắn hoặc không biết tính chất của tuỷ sống
D438	Neoplasm of uncertain behavior of other specified parts of central nervous system	Khối u có hành vi không rõ ràng ở các phần khác được chỉ định của hệ thần kinh trung ương
D439	Neoplasm of uncertain behavior of central nervous system, unspecified	U tân sinh không chắc chắn hoặc không biết tính chất của Hệ thần kinh trung ương, không đặc hiệu
D440	Neoplasm of uncertain behavior of thyroid gland	U tân sinh không chắc chắn hoặc không biết tính chất của Tuyến giáp
D442	Neoplasm of uncertain behavior of parathyroid gland	U tân sinh không chắc chắn hoặc không biết tính chất của Tuyến cận giáp
D443	Neoplasm of uncertain behavior of pituitary gland	U tân sinh không chắc chắn hoặc không biết tính chất của Tuyến yên
D444	Neoplasm of uncertain behavior of craniopharyngeal duct	U tân sinh không chắc chắn hoặc không biết tính chất của Ống sọ- hầu
D445	Neoplasm of uncertain behavior of pineal gland	U tân sinh không chắc chắn hoặc không biết tính chất của Tuyến tùng
D446	Neoplasm of uncertain behavior of carotid body	U tân sinh không chắc chắn hoặc không biết tính chất của Thể cảnh
D447	Neoplasm of uncertain behavior of aortic body and other paraganglia	U tân sinh không chắc chắn hoặc không biết tính chất của Thể động mạch chủ và thể cận hạch khác
D449	Neoplasm of uncertain behavior of unspecified endocrine gland	U tân sinh không chắc chắn hoặc không rõ tính chất của: tuyến nội tiết, không đặc hiệu
D460	Refractory anemia without ring sideroblasts, so stated	Thiếu máu dai dẳng không có nguyên hồng cầu sắt vòng, được xác định
D461	Refractory anemia with ring sideroblasts	Hội chứng rối loạn sinh tuỷ có nguyên hồng cầu sắt vòng
D464	Refractory anemia, unspecified	Thiếu máu dai dẳng, không đặc hiệu
D469	Myelodysplastic syndrome, unspecified	Hội chứng rối loạn sinh tuỷ, không đặc hiệu
D46A	Refractory cytopenia with multilineage dysplasia	Giảm tế bào kháng trị với loạn sản đa dòng
D46B	Refractory cytopenia with multilineage dysplasia and ring sideroblasts	Giảm tế bào kháng trị với loạn sản đa dòng và nguyên bào sắt vòng
D46C	Myelodysplastic syndrome with isolated del(5q) chromosomal abnormality	Hội chứng loạn sinh tủy với bất thường nhiễm sắc thể del(5q) riêng biệt
D46Z	Other myelodysplastic syndromes	Các hội chứng loạn sinh tủy khác
D470	Histiocytic and mast cell tumors of uncertain behavior	U tổ chức bào và dưỡng bào không triệu chứng
D471	Chronic myeloproliferative disease	Bệnh bạch cầu tăng sinh tuỷ mạn tính
D472	Monoclonal gammopathy	Bệnh lý gamma đơn dòng thể không xác định triệu chứng (MGMUS)
D473	Essential (hemorrhagic) thrombocythemia	Bệnh tăng tiểu cầu (xuất huyết) vô căn
D474	Osteomyelofibrosis	Bệnh xơ hoá tuỷ xương
D479	Neoplasm of uncertain behavior of lymphoid, hematopoietic and related tissue, unspecified	U tân sinh không đặc hiệu, không chắc chắn hoặc không rõ tính chất của mô lympho, mô tạo huyết và mô liên quan
D480	Neoplasm of uncertain behavior of bone and articular cartilage	U tân sinh không xác định, không chắc chắn hoặc không rõ tính chất của xương và sụn khớp
D481	Neoplasm of uncertain behavior of connective and other soft tissue	U tân sinh không xác định, không chắc chắn hoặc không rõ tính chất của mô liên kết và mô mềm khác
D482	Neoplasm of uncertain behavior of peripheral nerves and autonomic nervous system	U tân sinh không xác định, không chắc chắn hoặc không rõ tính chất của thần kinh ngoại vi và thần kinh tự chủ
D483	Neoplasm of uncertain behavior of retroperitoneum	U tân sinh không xác định, không chắc chắn hoặc không rõ tính chất của vùng sau phúc mạc
D484	Neoplasm of uncertain behavior of peritoneum	U tân sinh không xác định, không chắc chắn hoặc không rõ tính chất của phúc mạc
D485	Neoplasm of uncertain behavior of skin	U tân sinh không xác định, không chắc chắn hoặc không rõ tính chất của da
D487	Neoplasm of uncertain behavior of other specified sites	U tân sinh không xác định, không chắc chắn hoặc không rõ tính chất của da
D489	Neoplasm of uncertain behavior, unspecified	U tân sinh không chắc chắn hoặc không biết tính chất, không đặc hiệu
D490	Neoplasm of unspecified behavior of digestive system	U tân sinh có hành vi không xác định của hệ tiêu hóa
D491	Neoplasm of unspecified behavior of respiratory system	U tân sinh có hành vi không xác định của hệ hô hấp
D492	Neoplasm of unspecified behavior of bone, soft tissue, and skin	U tân sinh có hành vi không xác định của xương, mô mềm và da
D493	Neoplasm of unspecified behavior of breast	U tân sinh có hành vi không xác định của vú
D494	Neoplasm of unspecified behavior of bladder	U tân sinh có hành vi không xác định của bàng quang
D495	Neoplasm of unspecified behavior of other genitourinary organs	U tân sinh có hành vi không xác định của các cơ quan tiết niệu sinh dục khác
D496	Neoplasm of unspecified behavior of brain	U tân sinh có hành vi không xác định của não
D497	Neoplasm of unspecified behavior of endocrine glands and other parts of nervous system	U tân sinh có hành vi không xác định của các tuyến nội tiết và các bộ phận khác của hệ thần kinh
D499	Neoplasm of unspecified behavior of unspecified site	U tân sinh có hành vi không xác định của vị trí không xác định
D500	Iron deficiency anemia secondary to blood loss (chronic)	Thiếu máu thiếu sắt thứ phát do mất máu (mạn tính)
D501	Sideropenic dysphagia	Chứng khó nuốt do thiếu sắt
D508	Other iron deficiency anemias	Thiếu máu thiếu sắt khác
D509	Iron deficiency anemia, unspecified	Thiếu máu thiếu sắt không đặc hiệu
D510	Vitamin B12 deficiency anemia due to intrinsic factor deficiency	Thiếu máu thiếu vitamin B12 do thiếu yếu tố nội sinh
D511	Vitamin B12 deficiency anemia due to selective vitamin B12 malabsorption with proteinuria	Thiếu vitamin B12 do giảm hấp thu chọn lọc vitamin B12 kèm theo protein niệu
D512	Transcobalamin II deficiency	Thiếu Transcobalamin II
D513	Other dietary vitamin B12 deficiency anemia	Thiếu máu thiếu vitamin B12 do chế độ ăn khác
D518	Other vitamin B12 deficiency anemias	Thiếu máu thiếu vitamin B12 khác
D519	Vitamin B12 deficiency anemia, unspecified	Thiếu máu thiếu vitamin B12, không đặc hiệu
D520	Dietary folate deficiency anemia	Thiếu máu thiếu folate do chế độ ăn
D521	Drug-induced folate deficiency anemia	Thiếu máu thiếu folate do thuốc
D528	Other folate deficiency anemias	Thiếu máu thiếu folate khác
D529	Folate deficiency anemia, unspecified	Thiếu máu thiếu folate không đặc hiệu
D530	Protein deficiency anemia	Thiếu máu do thiếu protein
D531	Other megaloblastic anemias, not elsewhere classified	Các thiếu máu nguyên hồng cầu khổng lồ khác, không phân loại nơi khác
D532	Scorbutic anemia	Thiếu máu thiếu vitamin C
D538	Other specified nutritional anemias	Các thiếu máu dinh dưỡng đặc hiệu khác
D539	Nutritional anemia, unspecified	Thiếu máu dinh dưỡng không đặc hiệu
D550	Anemia due to glucose-6-phosphate dehydrogenase [G6PD] deficiency	Thiếu máu do thiếu men glucose- 6- phosphate dehydrogenase
D551	Anemia due to other disorders of glutathione metabolism	Thiếu máu do các rối loạn chuyển hoá glutathione khác
D552	Anemia due to disorders of glycolytic enzymes	Thiếu máu do rối loạn các men phân giải glucose
D553	Anemia due to disorders of nucleotide metabolism	Thiếu máu do rối loạn chuyển hoá nucleotide
D558	Other anemias due to enzyme disorders	Thiếu máu khác do rối loạn men
D559	Anemia due to enzyme disorder, unspecified	Thiếu máu do rối loạn men, không đặc hiệu
D560	Alpha thalassemia	Bệnh Alpha thalassemia
D561	Beta thalassemia	Bệnh Beta thalassemia
D562	Delta-beta thalassemia	Bệnh thalassemia thể delta- beta
D563	Thalassemia minor	Bệnh Thalassemia thể nhẹ
D564	Hereditary persistence of fetal hemoglobin [HPFH]	Tồn tại di truyền huyết sắc tố bào thai
D565	Hemoglobin E-beta thalassemia	Bệnh thalassemia Hemoglobin E-beta
D568	Other thalassemias	Các bệnh Thalassemia thể khác
D569	Thalassemia, unspecified	Thalassemia không đặc hiệu
D571	Sickle-cell disease without crisis	Thiếu máu hồng cầu hình liềm không có cơn tan máu
D573	Sickle-cell trait	Hồng cầu hình liềm thể nhẹ
D580	Hereditary spherocytosis	Hồng cầu hình cầu di truyền
D581	Hereditary elliptocytosis	Hồng cầu hình elip di truyền
D582	Other hemoglobinopathies	Các bệnh huyết sắc tố khác
D588	Other specified hereditary hemolytic anemias	Các thiếu máu tan máu di truyền đặc hiệu khác
D589	Hereditary hemolytic anemia, unspecified	Thiếu máu tan máu di truyền không đặc hiệu
D590	Drug-induced autoimmune hemolytic anemia	Thiếu máu tan máu di truyền không đặc hiệu
D591	Other autoimmune hemolytic anemias	Các thiếu máu tan máu tự miễn dịch khác
D592	Drug-induced nonautoimmune hemolytic anemia	Thiếu máu tan máu do thuốc không phải tự miễn dịch
D593	Hemolytic-uremic syndrome	Hội chứng tan máu tăng urê máu
D594	Other nonautoimmune hemolytic anemias	Các thiếu máu tan máu không phải tự miễn dịch khác
D595	Paroxysmal nocturnal hemoglobinuria [Marchiafava-Micheli]	Đái huyết sắc tố kịch phát ban đêm [Hội chứng Marchifava- Micheli]
D596	Hemoglobinuria due to hemolysis from other external causes	Đái huyết sắc tố kịch phát ban đêm [Hội chứng Marchifava- Micheli]
D598	Other acquired hemolytic anemias	Các thiếu máu tan máu mắc phải khác
D599	Acquired hemolytic anemia, unspecified	Thiếu máu tan máu mắc phải không đặc hiệu
D600	Chronic acquired pure red cell aplasia	Suy tuỷ xương một dòng hồng cầu mắc phải mạn tính
D601	Transient acquired pure red cell aplasia	Suy tuỷ xương một dòng hồng cầu mắc phải thoáng qua
D608	Other acquired pure red cell aplasias	Suy tuỷ xương một dòng hồng cầu mắc phải khác
D609	Acquired pure red cell aplasia, unspecified	Suy tuỷ xương một dòng hồng cầu mắc phải không đặc hiệu
D611	Drug-induced aplastic anemia	Suy tuỷ xương do thuốc
D612	Aplastic anemia due to other external agents	Suy tuỷ xương do các nguyên nhân ngoại sinh khác
D613	Idiopathic aplastic anemia	Suy tuỷ xương vô căn
D619	Aplastic anemia, unspecified	Suy tuỷ xương không đặc hiệu khác
D630	Anemia in neoplastic disease                                                                                                                                                                                                                                    	Thiếu máu trong bệnh ác tính 
D631	Anemia in chronic kidney disease	Thiếu máu trong bệnh thận mãn tính
D638	Anemia in other chronic diseases classified elsewhere                                                                                                                                                                                                           	Thiếu máu trong bệnh mạn tính phân loại nơi khác
D640	Hereditary sideroblastic anemia                                                                                                                                                                                                                                 	Thiếu máu nguyên hồng cầu sắt di truyền
D641	Secondary sideroblastic anemia due to disease                                                                                                                                                                                                                   	Thiếu máu nguyên hồng cầu sắt thứ phát do bệnh lý
D642	Secondary sideroblastic anemia due to drugs and toxins                                                                                                                                                                                                          	Thiếu máu nguyên hồng cầu sắt thứ phát do thuốc và độc chất
D643	Other sideroblastic anemias                                                                                                                                                                                                                                     	Các thiếu máu nguyên hồng cầu sắt khác
D644	Congenital dyserythropoietic anemia                                                                                                                                                                                                                             	Thiếu máu rối loạn sinh sản dòng hồng cầu bẩm sinh
D649	Anemia, unspecified                                                                                                                                                                                                                                             	Thiếu máu không đặc hiệu
D680	'Von Willebrand''s disease'	Bệnh Von Willebrand
D681	Hereditary factor XI deficiency	Thiếu yếu tố XI di truyền
D682	Hereditary deficiency of other clotting factors	Thiếu các yếu tố đông máu khác do di truyền
D684	Acquired coagulation factor deficiency	Thiếu hụt yếu tố đông máu mắc phải
D688	Other specified coagulation defects	Rối loạn đông máu đặc hiệu khác
D689	Coagulation defect, unspecified	Rối loạn đông máu không đặc hiệu
D690	Allergic purpura	Ban xuất huyết dị ứng
D691	Qualitative platelet defects	Bất thường chất lượng tiểu cầu
D692	Other nonthrombocytopenic purpura	Ban xuất huyết không giảm tiểu cầu khác
D693	Immune thrombocytopenic purpura	Giảm tiểu cầu miễn dịch nguyên phát
D696	Thrombocytopenia, unspecified	Giảm tiểu cầu không đặc hiệu
D698	Other specified hemorrhagic conditions	Tình trạng xuất huyết đặc hiệu khác
D699	Hemorrhagic condition, unspecified	Tình trạng xuất huyết không đặc hiệu
D700	Congenital agranulocytosis	Bệnh mất bạch cầu hạt bẩm sinh
D701	Agranulocytosis secondary to cancer chemotherapy	Bệnh mất bạch cầu hạt thứ phát do hóa trị ung thư
D702	Other drug-induced agranulocytosis	Bệnh mất bạch cầu hạt do thuốc khác
D703	Neutropenia due to infection	Giảm bạch cầu trung tính do nhiễm trùng
D704	Cyclic neutropenia	Giảm bạch cầu trung tính tuần hoàn
D708	Other neutropenia	Giảm bạch cầu trung tính khác
D709	Neutropenia, unspecified	Giảm bạch cầu trung tính, không xác định
D720	Genetic anomalies of leukocytes	Bất thường di truyền của bạch cầu
D721	Eosinophilia	Tình trạng tăng bạch cầu ưa acid
D729	Disorder of white blood cells, unspecified	Rối loạn bạch cầu không đặc hiệu
D730	Hyposplenism	Thiểu năng lách
D731	Hypersplenism	Cường lách
D732	Chronic congestive splenomegaly	Lách to sung huyết mạn tính
D733	Abscess of spleen	Áp xe lách
D734	Cyst of spleen	Nang lách
D735	Infarction of spleen	Nhồi máu lách
D739	Disease of spleen, unspecified	Bệnh lách không đặc hiệu
D740	Congenital methemoglobinemia	Methemoglobin huyết bẩm sinh
D748	Other methemoglobinemias	Methemoglobin huyết khác
D749	Methemoglobinemia, unspecified	Methaemoglobin huyết, không đặc hiệu
D750	Familial erythrocytosis	Tăng hồng cầu gia đình
D751	Secondary polycythemia	Bệnh tăng hồng cầu thứ phát
D759	Disease of blood and blood-forming organs, unspecified	Bệnh của máu và cơ quan tạo máu không đặc hiệu
D75A	Glucose-6-phosphate dehydrgnse (G6PD) defic without anemia	Thiếu glucose-6-phosphate dehydrgnse (G6PD) không thiếu máu
D761	Hemophagocytic lymphohistiocytosis	Hội chứng thực bào máu (HLH)
D762	Hemophagocytic syndrome, infection-associated	Hội chứng thực bào máu liên quan đến nhiễm trùng
D763	Other histiocytosis syndromes	Hội chứng mô bào khác
D800	Hereditary hypogammaglobulinemia	Giảm gammaglobulin máu di truyền
D801	Nonfamilial hypogammaglobulinemia	Giảm gammaglobulin máu không có yếu tố gia đình
D802	Selective deficiency of immunoglobulin A [IgA]	Thiếu hụt immunoglobulin A IgA chọn lọc
D803	Selective deficiency of immunoglobulin G [IgG] subclasses	Thiếu hụt phân nhóm immunoglobulin G IgG chọn lọc
D804	Selective deficiency of immunoglobulin M [IgM]	Thiếu hụt immunoglobulin M [IgM] chọn lọc
D805	Immunodeficiency with increased immunoglobulin M [IgM]	Suy giảm miễn dịch có tăng immunoglobulin M [IgM]
D806	Antibody deficiency with near-normal immunoglobulins or with hyperimmunoglobulinemia	Thiếu hụt kháng thể với hàm lượng các immunoglobulin giảm ít hoặc tăng immuglobulin máu
D807	Transient hypogammaglobulinemia of infancy	Giảm gammaglobulin máu thoáng qua ở trẻ nhỏ
D808	Other immunodeficiencies with predominantly antibody defects	Suy giảm miễn dịch khác do thiếu kháng thể là chủ yếu
D809	Immunodeficiency with predominantly antibody defects, unspecified	Thiếu hụt miễn dịch do thiếu kháng thể là chủ yếu, không đặc hiệu
D810	Severe combined immunodeficiency [SCID] with reticular dysgenesis	Thiếu hụt miễn dịch kết hợp nghiêm trọng [SCID] với loạn sinh liên võng
D811	Severe combined immunodeficiency [SCID] with low T- and B-cell numbers	Thiếu hụt miễn dịch kết hợp nghiêm trọng [SCID] với giảm số lượng lympho T và B
D812	Severe combined immunodeficiency [SCID] with low or normal B-cell numbers	Thiếu hụt miễn dịch kết hợp nghiêm trọng [SCID] với số lượng lympho B thấp hoặc bình thường
D813	Adenosine deaminase [ADA] deficiency	Thiếu hụt enzim adenosine deaminase [ADA]
D814	'Nezelof''s syndrome'	Hội chứng Nezelof
D815	Purine nucleoside phosphorylase [PNP] deficiency	Thiếu hụt emzim purine nucleoside phosphorylase [PNP]
D816	Major histocompatibility complex class I deficiency	Thiếu hụt phức hợp hoà hợp tổ chức lớp I (MHC I)
D817	Major histocompatibility complex class II deficiency	Thiếu hụt phức hợp hoà hợp tổ chức lớp II (MHC II)
D819	Combined immunodeficiency, unspecified	Suy giảm miễn dịch hỗn hợp không đặc hiệu
D820	Wiskott-Aldrich syndrome	Hội chứng Wiskott- Aldrich
D821	'Di George''s syndrome'	Hội chứng Di George
D822	Immunodeficiency with short-limbed stature	Suy giảm miễn dịch kèm chứng ngắn chi
D823	Immunodeficiency following hereditary defective response to Epstein-Barr virus	Suy giảm miễn dịch sau đáp ứng bị khuyết thiếu với vi rút Epstein- Barr mang tính di truyền
D824	Hyperimmunoglobulin E [IgE] syndrome	Hội chứng tăng immunoglobulin E [IgE]
D828	Immunodeficiency associated with other specified major defects	Suy giảm miễn dịch liên quan với các bất thường lớn đặc hiệu khác
D829	Immunodeficiency associated with major defect, unspecified	Suy giảm miễn dịch khiếm khuyết chủ yếu, không đặc hiệu
D830	Common variable immunodeficiency with predominant abnormalities of B-cell numbers and function	Suy giảm miễn dịch một số biến thể do bất thường về số lượng và chức năng lympho B
D831	Common variable immunodeficiency with predominant immunoregulatory T-cell disorders	Suy giảm miễn dịch biến thể chủ yếu do rối loạn điều hoà miễn dịch của lympho T
D832	Common variable immunodeficiency with autoantibodies to B- or T-cells	Suy giảm miễn dịch biến thể phổ biến với tự kháng thể chống lympho B hoặc T
D838	Other common variable immunodeficiencies	Suy giảm miễn dịch biến thiên phổ biến khác
D839	Common variable immunodeficiency, unspecified	Suy giảm miễn dịch biến thiên phổ biến không đặc hiệu
D840	Lymphocyte function antigen-1 [LFA-1] defect	Bất thường kháng nguyên chức năng 1 của lymphocyte [LFA- 1]
D841	Defects in the complement system	Bất thường của hệ thống bổ thể
D848	Other specified immunodeficiencies	Suy giảm miễn dịch đặc hiệu khác
D849	Immunodeficiency, unspecified	Suy giảm miễn dịch không đặc hiệu
D860	Sarcoidosis of lung	Bệnh sarcoid (u hạt) phổi
D861	Sarcoidosis of lymph nodes	Bệnh sarcoid (u hạt) hạch bạch huyết
D862	Sarcoidosis of lung with sarcoidosis of lymph nodes	Bệnh sarcoid (u hạt) phổi và hạch bạch huyết
D863	Sarcoidosis of skin	Bệnh sarcoid (u hạt) da
D869	Sarcoidosis, unspecified	Bệnh sarcoid (u hạt) không đặc hiệu
D890	Polyclonal hypergammaglobulinemia	Tăng gammaglobulin máu đa dòng
D891	Cryoglobulinemia	Bệnh kháng thể (tăng globulin) ngưng kết lạnh
D892	Hypergammaglobulinemia, unspecified	Tăng gammaglobulin máu không đặc hiệu
D893	Immune reconstitution syndrome	Hội chứng tái tạo miễn dịch
D899	Disorder involving the immune mechanism, unspecified	Rối loạn liên quan đến cơ chế miễn dịch, không đặc hiệu
E000	Congenital iodine-deficiency syndrome, neurological type	Hội chứng thiếu iod bẩm sinh, thể thần kinh
E001	Congenital iodine-deficiency syndrome, myxedematous type	Hội chứng thiếu iod bẩm sinh, thể phù niêm
E002	Congenital iodine-deficiency syndrome, mixed type	Hội chứng thiếu iod bẩm sinh, thể phối hợp
E009	Congenital iodine-deficiency syndrome, unspecified	Hội chứng thiếu iod bẩm sinh, thể phối hợp
E010	Iodine-deficiency related diffuse (endemic) goiter	Bướu giáp lan toả (địa phương)- liên quan đến thiếu iod
E011	Iodine-deficiency related multinodular (endemic) goiter	Bướu giáp đa nhân (địa phương) do thiếu iod
E012	Iodine-deficiency related (endemic) goiter, unspecified	Bướu giáp (địa phương) do thiếu iod, không đặc hiệu
E018	Other iodine-deficiency related thyroid disorders and allied conditions                                                                                                                                                                                         	Suy giáp mắc phải do thiếu iod không xác định
E030	Congenital hypothyroidism with diffuse goiter	Suy giáp bẩm sinh với bướu lan toả
E031	Congenital hypothyroidism without goiter	Suy giáp bẩm sinh không có bướu
E032	Hypothyroidism due to medicaments and other exogenous substances                                                                                                                                                                                                	Suy giáp do thuốc và chất ngoại sinh khác
E033	Postinfectious hypothyroidism                                                                                                                                                                                                                                   	Suy giáp sau nhiễm trùng
E034	Atrophy of thyroid (acquired)	Teo tuyến giáp (mắc phải)
E035	Myxedema coma	Hôn mê phù niêm
E038	Other specified hypothyroidism                                                                                                                                                                                                                                  	Suy giáp xác định khác
E039	Hypothyroidism, unspecified                                                                                                                                                                                                                                     	Suy giáp, không đặc hiệu
E040	Nontoxic diffuse goiter	Bướu giáp lan toả không độc
E041	Nontoxic single thyroid nodule	Bướu giáp đơn nhân không độc
E042	Nontoxic multinodular goiter	Bướu giáp đa nhân không độc
E048	Other specified nontoxic goiter	Bướu giáp không độc đặc hiệu khác
E049	Nontoxic goiter, unspecified	Bướu giáp không độc, không đặc hiệu
E059	Thyrotoxicosis, unspecified	Nhiễm độc giáp, không đặc hiệu
E060	Acute thyroiditis	Viêm giáp cấp
E061	Subacute thyroiditis	Viêm giáp cấp
E062	Chronic thyroiditis with transient thyrotoxicosis	Viêm giáp mạn với nhiễm độc giáp thoáng qua
E063	Autoimmune thyroiditis	Viêm giáp tự miễn
E064	Drug-induced thyroiditis	Viêm giáp do thuốc
E065	Other chronic thyroiditis	Viêm giáp mạn tính khác
E069	Thyroiditis, unspecified	Viêm giáp không đặc hiệu
E070	Hypersecretion of calcitonin	Viêm giáp không đặc hiệu
E071	Dyshormogenetic goiter	Bướu giáp do rối loạn sinh hormon
E079	Disorder of thyroid, unspecified	Rối loạn tuyến giáp, không đặc hiệu
E088	Diabetes mellitus due to underlying condition with unspecified complications	Bệnh tiểu đường do tình trạng bệnh lý tiềm ẩn có biến chứng không xác định
E089	Diabetes mellitus due to underlying condition without complications	Bệnh tiểu đường do tình trạng bệnh lý tiềm ẩn không có biến chứng
E098	Drug or chemical induced diabetes mellitus with unspecified complications	Bệnh tiểu đường do thuốc hoặc hóa chất có biến chứng không xác định
E099	Drug or chemical induced diabetes mellitus without complications	Bệnh tiểu đường do thuốc hoặc hóa chất không có biến chứng
E108	Type 1 diabetes mellitus with unspecified complications                                                                                                                                                                                                         	Bệnh đái tháo đường type 1: có biến chứng không xác định
E109	Type 1 diabetes mellitus without complications                                                                                                                                                                                                                  	Bệnh đái tháo đường type 1: chưa có biến chứng
E118	Type 2 diabetes mellitus with unspecified complications                                                                                                                                                                                                         	Bệnh đái tháo đường type 2: có biến chứng không xác định
E119	Type 2 diabetes mellitus without complications                                                                                                                                                                                                                  	Bệnh đái tháo đường type 2: chưa có biến chứng
E138	Other specified diabetes mellitus with unspecified complications                                                                                                                                                                                                	Bệnh đái tháo đường xác định khác: có biến chứng không xác định
E139	Other specified diabetes mellitus without complications                                                                                                                                                                                                         	Bệnh đái tháo đường xác định khác: chưa có biến chứng
E149	Unspecified diabetes mellitus without complications	Đái tháo đường không đặc hiệu: chưa có biến chứng
E160	Drug-induced hypoglycemia without coma	Hạ đường máu do thuốc, không hôn mê
E161	Other hypoglycemia	Hạ đường máu khác
E162	Hypoglycemia, unspecified	Hạ đường máu không đặc hiệu
E163	Increased secretion of glucagon	Tăng tiết glucagon
E164	Increased secretion of gastrin	Tiết gastrin bất thường
E168	Other specified disorders of pancreatic internal secretion	Rối loạn xác định khác của- bài tiết của tuyến tuỵ nội tiết
E169	Disorder of pancreatic internal secretion, unspecified	Rối loạn bài tiết của tuyến tuỵ nội tiết, không xác định
E200	Idiopathic hypoparathyroidism	Suy tuyến cận giáp không rõ nguyên nhân
E201	Pseudohypoparathyroidism	Giả suy tuyến cận giáp
E208	Other hypoparathyroidism	Suy tuyến cận giáp khác
E209	Hypoparathyroidism, unspecified	Suy tuyến cận giáp, không đặc hiệu
E210	Primary hyperparathyroidism	Suy tuyến cận giáp, không đặc hiệu
E211	Secondary hyperparathyroidism, not elsewhere classified	Cường cận giáp thứ phát không phân loại nơi khác
E212	Other hyperparathyroidism	Cường cận giáp cấp 3
E213	Hyperparathyroidism, unspecified	Cường cận giáp, không đặc hiệu
E214	Other specified disorders of parathyroid gland	Rối loạn xác định khác của tuyến cận giáp
E215	Disorder of parathyroid gland, unspecified	Rối loạn tuyến cận giáp, không đặc hiệu
E220	Acromegaly and pituitary gigantism	Bệnh to đầu chi và chứng khổng lồ do tuyến yên
E221	Hyperprolactinemia	Tăng prolactin máu
E222	Syndrome of inappropriate secretion of antidiuretic hormone	Hội chứng tiết hormon kháng bài niệu (ADH) không thích hợp
E228	Other hyperfunction of pituitary gland	Cường năng khác của tuyến yên
E229	Hyperfunction of pituitary gland, unspecified	Cường năng tuyến yên, không đặc hiệu
E230	Hypopituitarism	Suy tuyến yên
E231	Drug-induced hypopituitarism	Suy tuyến yên do thuốc
E232	Diabetes insipidus	Đái tháo nhạt
E233	Hypothalamic dysfunction, not elsewhere classified	Rối loạn chức năng vùng dưới đồi, không phân loại nơi khác
E236	Other disorders of pituitary gland	Rối loạn khác của tuyến yên
E237	Disorder of pituitary gland, unspecified	Rối loạn tuyến yên, không đặc hiệu
E240	'Pituitary-dependent Cushing''s disease'	Bệnh Cushing phụ thuộc tuyến yên
E241	'Nelson''s syndrome'	Hội chứng Nelson
E242	'Drug-induced Cushing''s syndrome'	Hội chứng Cushing do thuốc
E243	Ectopic ACTH syndrome	Hội chứng ACTH lạc chỗ
E244	'Alcohol-induced pseudo-Cushing''s syndrome'	Hội chứng Cushing giả do rượu
E248	'Other Cushing''s syndrome'	Hội chứng Cushing khác
E249	'Cushing''s syndrome, unspecified'	Hội chứng Cushing, không đặc hiệu
E250	Congenital adrenogenital disorders associated with enzyme deficiency	Rối loạn thượng thận- sinh dục bẩm sinh kết hợp với thiếu enzym
